映画名,ジャンル,評価,年代,監督名,俳優名
プリデスティネーション,SF,4.3,2014,マイケル・スピエリッグ,"サラ・スヌーク, イーサン・ホーク"
ハンナ,アクション,4.3,2011,ジョー・ライト,"シアーシャ・ローナン, ケイト・ブランシェット"
リンカーン弁護士,スリラー,4.1,2011,ブラッド・ファーマン,"マシュー・マコノヒー, ライアン・フィリップ"
アサイラム,ミステリー,4.4,2014,ブラッド・アンダーソン,"ベン・キングスレー, ケイト・ベッキンセイル"
幸せのちから,ドラマ,4.0,2006,ガブリエレ・ムッチーノ,"ウィル・スミス, ジェイデン・スミス"
アウトブレイク,スリラー,4.2,1995,ウォルフガング・ペーターゼン,"ダスティン・ホフマン, レネ・ルッソ"
ダイバージェント,SF,3.9,2014,ニール・バーガー,"シェイリーン・ウッドリー, テオ・ジェームズ"
キューブ,SF,3.9,1997,ヴィンチェンゾ・ナタリ,"ニッキー・グァダーニ, モーリス・ディーン・ウィント"
エベレスト3D,ドラマ,4.3,2015,バルタザール・コルマウクル,"ジェイク・ギレンホール, ジョシュ・ブローリン"
テネット,SF,4.0,2020,クリストファー・ノーラン,"エリザベス・デビッキ, ジョン・デヴィッド・ワシントン"
ボーン・コレクター,スリラー,4.1,1999,フィリップ・ノイス,"デンゼル・ワシントン, アンジェリーナ・ジョリー"
ディアボロス/悪魔の扉,ホラー,4.0,1997,テイラー・ハックフォード,"アル・パチーノ, キア・ヌリーブス"
